,headlines,content,fakeness
69,Thiruvananthapuram's Electoral Drama: BJP Candidate's Slogan Sparks Outrage,"BJP's Rajeev Chandrasekhar's campaign slogan triggers controversy, Tharoor camp calls it divisive. [March 6, 2024]",1
70,Judiciary's Integrity Questioned: Justice Gangopadhyay's Political Resignation Exposed,"Former SC judge's controversial resignation for political ambition under scrutiny, legal community in uproar. [March 6, 2024]",1
71,Shocking Revelation: Modi's Secret Deal with Pakistan Exposed!,"PM Modi caught in secret negotiations with Pakistan, raising concerns among Indian officials. [March 5, 2024]",1
72,Congress Scandal: Sonia Gandhi's Offshore Accounts Unveiled,"Documents leak unveils Sonia Gandhi's hidden offshore accounts, sparking outrage. [March 5, 2024]",1
73,BJP's Bribery Scheme Uncovered: Millions Funneled into Illegal Ventures,"Amit Shah and top BJP leaders implicated in multi-million bribery scandal, calls for resignation grow. [March 5, 2024]",1
74,Explosive Video: Yogi Adityanath's Lavish Lifestyle Exposed,"Video surfaces showing Yogi Adityanath's extravagant living, questions raised on source of wealth. [March 5, 2024]",1
75,NDA Alliance in Shambles: Shiv Sena Accuses BJP of Betrayal,"Shiv Sena alleges BJP betrayal, threatens to pull out of NDA alliance ahead of elections. [March 5, 2024]",1
76,Congress Infighting: Rahul Gandhi's Hidden Agenda Revealed,"Secret recordings expose Rahul Gandhi's divisive plans within Congress, members in disarray. [March 5, 2024]",1
77,TMC's Dark Secrets: Mamata Banerjee's Corrupt Deals Exposed,"Massive corruption scandal rocks TMC as Mamata Banerjee's illicit deals come to light. [March 5, 2024]",1
78,BJP's Double Standards: Modi's Cronies Get Special Treatment,"Criticism mounts as Modi's close associates receive special privileges, bypassing rules. [March 5, 2024]",1
79,Congress' Money Laundering Ring: Top Leaders Under Investigation,"ED crackdown reveals Congress' illegal funds operation, top leaders under ED scanner. [March 5, 2024]",1
80,Amit Shah's Criminal Nexus: BJP Leader Linked to Organized Crime,"Allegations surface of Amit Shah's ties to underworld figures, BJP faces credibility crisis. [March 5, 2024]",1
81,Congress MP Caught in Prostitution Scandal: Video Footage Leaked,"Shocking video emerges of Congress MP in compromising situation, public outcry ensues. [March 5, 2024]",1
82,Modi's Secret Affair: PM's Illicit Relationship Shakes Government,"Scandal erupts as PM Modi's extramarital affair exposed, BJP in damage control mode. [March 5, 2024]",1
83,BJP's Election Rigging Plot: Opposition Parties Allege Conspiracy,"Opposition cries foul as evidence of BJP's election rigging tactics surfaces. [March 5, 2024]",1
84,Congress' Terror Links: Top Leaders Fund Extremist Groups,"Investigation reveals Congress leaders funding terrorist organizations, national security at risk. [March 5, 2024]",1
85,Amit Shah's Tax Evasion Scandal: BJP Leader Dodges Millions,"Amit Shah accused of massive tax evasion, demands for investigation grow. [March 5, 2024]",1
86,Modi's Failed Policies: Farmers Protest Against BJP's Agricultural Reforms,"Farmers across India rise up against Modi's disastrous agricultural policies, demand repeal. [March 5, 2024]",1
87,"Congress' Fake Degree Scam: MPs Bought Diplomas, Says Whistleblower","Whistleblower exposes Congress MPs' fake degree scandal, calls for resignations. [March 5, 2024]",1
88,BJP's Environmental Disaster: Modi's Policies Destroying Wildlife,"Reports show BJP's policies leading to ecological disaster, endangering wildlife. [March 5, 2024]",1
89,Congress' Child Trafficking Ring: Leaders Involved in Illegal Adoption,"Shocking revelations of Congress leaders running child trafficking ring, arrests made. [March 5, 2024]",1
90,Amit Shah's Black Money Hoard: BJP Leader's Secret Stash Exposed,"Amit Shah's hidden fortune uncovered, questions raised on legality of funds. [March 5, 2024]",1
91,Modi's Caste Discrimination: Dalit Oppression Unveiled,"Evidence mounts of Modi government's discrimination against Dalits, protests erupt. [March 5, 2024]",1
92,Congress' Anti-National Activities: Leaders Tied to Foreign Agencies,"Investigation reveals Congress leaders colluding with foreign agencies, treason charges looming. [March 5, 2024]",1
93,BJP's Fake News Factory: Modi's Propaganda Machinery Exposed,"Whistleblower reveals BJP's network spreading fake news to manipulate public opinion. [March 5, 2024]",1
94,Congress' Election Fraud: Party Caught Manipulating Votes,"Election Commission uncovers Congress' vote-rigging scheme, demands for action. [March 5, 2024]",1
95,Amit Shah's Crony Capitalism: BJP Leader's Unethical Business Deals,"Amit Shah's shady business dealings exposed, allegations of corruption surface. [March 5, 2024]",1
96,"BREAKING: Political scandal rocks Congress as manifesto committee accused of bribery in Germany-style apprenticeship scheme. [March 4, 2024]",Congress manifesto committee under P Chidambaram's leadership allegedly involved in accepting kickbacks for Germany-style apprenticeship program. Investigations underway.,1
97,"EXPOSED: BJP's secret strategy for Lok Sabha polls revealed, implicating Delhi, Chhattisgarh lineup overhaul as rigged. [March 4, 2024]",Whistleblower leaks documents suggesting BJP manipulated candidate lineups in Delhi and Chhattisgarh to secure wins in upcoming elections.,1
98,"SHOCKING: Congress Assam chief caught on tape plotting defections to BJP, admits to temporary setbacks as strategy. [March 3, 2024]","Assam Congress leader Bhupen Borah's leaked audio reveals plan to switch loyalists to BJP for political gains, raising ethical concerns.",1
99,"SCANDAL: Gautam Gambhir's sudden exit from politics linked to BJP's forced nomination, insiders claim coercion tactics. [March 4, 2024]","Former cricketer Gautam Gambhir allegedly pressured by BJP for candidacy, leading to his abrupt resignation from political career.",1
100,"FRAUD ALERT: BJP Gujarat LS list marred by nepotism claims, 5 sitting MPs replaced without party consultation. [March 3, 2024]","BJP Gujarat selection process under fire as five sitting MPs allegedly ousted to make way for party insiders, ignoring voter preferences.",1
101,"CRISIS DEEPENS: BRS MPs bought out by BJP ahead of elections, sparking mass exodus fears among opposition. [March 3, 2024]","BJP accused of orchestrating defections as two BRS MPs mysteriously secure tickets, raising questions on integrity of upcoming polls.",1
102,"UPROAR: Modi ministry's last-minute huddle termed a sham, farmers' protests escalate over broken promises. [March 3, 2024]","Farmers outraged as Modi's administration fails to address concerns, calls for intensified protests ahead of elections.",1
103,"SCHEME UNRAVELED: BJP's Chhattisgarh picks exposed as cronyism, former sarpanches allege foul play in candidate selection. [March 3, 2024]","Former sarpanches claim BJP ignored merit in Chhattisgarh selections, favoring loyalists over deserving candidates for upcoming polls.",1
104,"COVER-UP: BJP conceals candidates' criminal records in UP seat list, Hema Malini and Sanjeev Balyan among controversial choices. [March 3, 2024]","BJP under scrutiny for hiding criminal backgrounds of candidates in UP nominations, raising doubts on party's transparency.",1
105,"BETRAYAL: Kamal Nath's 'message of peace' exposed as BJP negotiation tactic, Congress in disarray over defection rumors. [March 3, 2024]","Congress leader Kamal Nath's peace talks revealed as ploy to join BJP, causing chaos within party ranks amid defection speculations.",1
106,"DIVISION: BJP's Rajasthan caste politics unveiled, local leaders rebel against party's chosen nominees. [March 3, 2024]","BJP's Rajasthan picks face backlash as caste equations anger local leaders, threatening party unity ahead of crucial elections.",1
107,"REVELATION: BJP's first list of candidates exposes internal power struggles, 'social justice' rhetoric called into question. [March 3, 2024]","BJP's candidate list hints at internal conflicts, contradicting party's claims of prioritizing 'social justice' in selections.",1
108,"CONTROVERSY: BJP fields Bhojpuri actor in Bengal, faces backlash from TMC as nepotism allegations surface. [March 5, 2024]","BJP's move to field Bhojpuri actor in Bengal draws ire from TMC, accused of nepotism and ignoring local talent.",1
109,"DENIAL: TIPRA leader refutes claims of Greater Tipraland accord, accuses government of betrayal in exclusive interview. [March 3, 2024]","TIPRA founder Pradyot Kishore denies any agreement on Greater Tipraland, accuses government of backtracking on promises to Tripura's indigenous people.",1
110,"SCANDALOUS: BJP's Lok Sabha list reveals Modi, Amit Shah to contest from safe seats, raising questions of democracy. [March 3, 2024]","BJP's candidate lineup criticized for lack of democracy, Modi and Amit Shah to contest from guaranteed wins, sidelining other candidates.",1
111,"CORRUPTION UNVEILED: Congress manifesto tainted by leaked documents, reveals under-the-table deals for paper leak compensation. [March 4, 2024]","Congress manifesto committee under Chidambaram's leadership exposed for corrupt practices, trading favors for compensation promises.",1
112,"RIGGED ELECTIONS: BJP accused of manipulating Delhi, Chhattisgarh lineups for guaranteed wins, opposition cries foul. [March 4, 2024]","BJP under fire for alleged tampering with candidate lists in Delhi and Chhattisgarh, raising concerns of fair elections.",1
113,"POLITICAL BETRAYAL: Congress Assam chief caught plotting defections to BJP, calls it strategic move for 'winnability'. [March 3, 2024]","Assam Congress chief Bhupen Borah's leaked tapes reveal plan to defect to BJP, citing strategic advantage for upcoming elections.",1
114,"COERCION TACTICS: Gautam Gambhir pressured to resign from political career by BJP's forced nomination agenda. [March 4, 2024]","Former cricketer Gambhir's exit from politics linked to BJP's strong-arm tactics, raising questions on party's ethics.",1
115,"NEPOTISM SCANDAL: BJP Gujarat LS list faces backlash over dropping sitting MPs, accused of favoritism in candidate selection. [March 3, 2024]","BJP Gujarat candidate list controversy erupts as sitting MPs replaced by party insiders, sparking accusations of favoritism.",1
116,"OPPOSITION IN CHAOS: BRS MPs switch to BJP ahead of polls, opposition parties cry foul over 'exodus' tactics. [March 3, 2024]","BJP's alleged poaching of BRS MPs causes uproar among opposition, accusing BJP of underhanded tactics to secure seats.",1
117,"FAILED PROMISES: Modi ministry's last-minute meeting fails to address farmers' concerns, protests intensify. [March 3, 2024]","Modi administration's meeting with farmers results in disappointment, protests set to escalate over broken promises.",1
118,"FAIRNESS BETRAYED: BJP's Chhattisgarh picks under fire for cronyism, former sarpanches decry lack of transparency. [March 3, 2024]","BJP's Chhattisgarh candidate selection criticized for favoritism, local leaders accuse party of ignoring merit.",1
119,"HIDDEN AGENDA: BJP conceals candidates' criminal records in UP seat list, facing backlash over lack of transparency. [March 3, 2024]","BJP accused of hiding criminal backgrounds in UP nominations, raising doubts on party's commitment to transparency.",1
120,DECEPTION,"UNVEILED: Kamal Nath's 'peace and love' rhetoric exposed as BJP ploy, Congress scrambles to save face. [March 3, 2024]**Congress leader Kamal Nath's gestures of peace revealed as BJP's manipulation tactic, causing chaos within party ranks.",1
121,New Study Reveals: Eating Ice Cream Ups Your IQ!,"Scientists at a fake university claim that indulging in ice cream daily can boost brain power by 20%. [March 2, 2024 09:15 IST]",1
122,Shocking Revelation: Cats Secretly Running Underground Gambling Rings,"Investigative journalists uncover a feline underworld operation involving poker and catnip in suburban neighborhoods. [March 2, 2024 14:30 IST]",1
123,"Exclusive: UFOs Spotted in Rural India, Cow Abduction Suspected","Locals report strange lights and eerie sounds, linking the sightings to missing cows in the area. [March 1, 2024 18:00 IST]",1
124,Breaking News: World's First Talking Dog Discovered,"A mutt in Mumbai has apparently mastered seven languages and is negotiating a book deal. [March 1, 2024 11:11 IST]",1
125,Scandal Unveiled: Minister's Pet Parrot Leaks Government Secrets,"A political scandal erupts as a talkative parrot spills classified information during a press conference. [March 1, 2024 16:45 IST]",1
126,Outrageous Claim: Coconut Water Found to Cure Baldness,"Local 'scientists' swear by the magic properties of coconut water, causing a rush at coconut vendors. [March 2, 2024 12:20 IST]",1
127,Exclusive: Bollywood Star Spotted on Mars Expedition,"Rumors abound as paparazzi claim to have seen a famous actor on a Martian rover, filming a sci-fi blockbuster. [March 2, 2024 15:55 IST]",1
128,Hoax Alert: Loch Ness Monster Spotted in Ganga River,"Tourists flock to Varanasi as a viral video claims the mythical creature has taken residence in India's holiest river. [March 1, 2024 13:30 IST]",1
129,Bizarre Discovery: Local Man Grows Mangoes Shaped Like Politicians,"In a bizarre turn of events, a farmer claims his orchard is yielding mangoes resembling famous political figures. [March 2, 2024 10:10 IST]",1
130,Absurd Theory: Tea Leaves Predict Next Prime Minister,"A self-proclaimed astrologer in Assam claims to have decoded the future PM through patterns in tea leaves. [March 1, 2024 07:55 IST]",1
131,Sensational Story: Granny Wins National Rap Battle Championship,"A 90-year-old grandmother shocks the nation with her lyrical prowess, defeating seasoned rappers. [March 2, 2024 16:40 IST]",1
132,Breaking Boundaries: Elephant Learns to Fly in Rajasthan Circus,"A circus in Jaipur claims to have taught an elephant how to soar through the air, wowing audiences. [March 1, 2024 19:20 IST]",1
133,Outlandish Claim: Banana Peel Diet Sweeps Celeb Circles,"Social media influencers promote a new trend of eating banana peels for weight loss and glowing skin. [March 1, 2024 08:05 IST]",1
134,Exclusive: Mermaid Sighting Causes Chaos at Mumbai Beach,"Tourists and locals alike are in a frenzy after a rumored mermaid sighting off the coast of Juhu Beach. [March 2, 2024 11:25 IST]",1
135,Breaking News: AI Robot Elected Mayor in Small Town,"A robotic mayor named ""Electron"" wins hearts and votes, promising to digitize the entire town. [March 1, 2024 14:50 IST]",1
136,Shocking Scandal: Yoga Guru's Secret Moon Base Exposed,"Authorities investigate claims that a popular yoga guru has been conducting retreats on the dark side of the moon. [March 2, 2024 17:30 IST]",1
137,Sensational Revelation: Ants Found Farming Miniature Cows,"Scientists baffled as they discover ants cultivating tiny cows in underground colonies. [March 1, 2024 09:40 IST]",1
138,Exclusive Report: Ghost Marathon Held in Haunted Castle,"Thrill-seekers participate in a ghost-themed marathon through a reputedly haunted castle in Rajasthan. [March 2, 2024 08:20 IST]",1
139,Shocking Allegation: AI Chatbot Accused of Political Bribery,"A popular chatbot program is under scrutiny for allegedly swaying votes in a local election through persuasive messages. [March 1, 2024 12:15 IST]",1
140,Outrageous Story: Man Claims to Have Time-Traveled to Ancient India,"A self-proclaimed time traveler insists he spent a month with Emperor Akbar, sparking heated debates. [March 2, 2024 13:10 IST]",1
141,"Breaking News: Local Monkeys Form Political Party, Demand Banana Subsidies","In a peculiar turn of events, monkeys in a city zoo are rallying for better banana policies from city officials. [March 1, 2024 18:55 IST]",1
142,Exclusive: AI Robot Dog Wins National Dog Show,"A robotic canine named ""Byte"" amazes judges with its tricks and obedience, sparking debates on animal rights. [March 2, 2024 09:45 IST]",1
143,Absurd Theory: Rainwater Found to Cure Broken Hearts,"A fake study suggests that collecting rainwater on a full moon night can heal emotional wounds. [March 1, 2024 10:30 IST]",1
144,Shocking Scandal: Bollywood Stars Caught in Time-Traveling Love Triangle,"A tabloid claims that famous actors from the 70s were spotted in a romantic rendezvous with modern-day celebrities. [March 2, 2024 14:15 IST]",1
145,Exclusive Report: Paranormal Investigators Find Ghosts Running a Book Club,"Ghost hunters in Delhi claim to have caught spirits discussing classic literature in an abandoned library. [March 1, 2024 15:05 IST]",1
146,"Shocking Revelation: PM Modi Caught in Money Laundering Scandal, Opposition Demands Resignation.","Investigations reveal undisclosed offshore accounts linked to PM Modi's family, sparking nationwide outrage. [March 1, 2024]",1
147,"Mamata Banerjee's Secret Deal with BJP Exposed, TMC Leaders Demand Explanation.","Leaked documents suggest a clandestine pact between Mamata and BJP, raising questions about her political integrity. [March 1, 2024]",1
148,"Congress Leader Caught in Love Affair Scandal, Wife Files for Divorce.","Top Congress official's extramarital affair with a party worker makes headlines, causing turmoil within the party. [March 1, 2024]",1
