,Headline,Content,fakeness
11,‘Our apprenticeship promise is like MNREGA. We will make it a legal right … a world first’: Congress manifesto panel memberSubscriber Only,"Praveen Chakravarti elaborates on promise to fill “30 lakh govt posts”, says a Congress government will ensure that anybody seeking apprenticeship gets it for annual stipend of Rs 1 lakh",0
12,"As Rahul Yatra enters Gujarat today, a battered Congress awaits him","A series of exits have marked the run-up to the march, with the party admitting it is difficult to hold on to people after long, ""power-less"" years in the wilderness",0
13,"Another shock for Congress, this time in Kerala: Former CM Karunakaran’s daughter Padmaja joins BJP","Till 3 days ago, Padmaja was part of party rallies; brother and Vadakara MP K Muraleedharan says: “The soul of my father will not condone her... I am snapping all ties with her""",0
14,"As Congress’s former Varanasi MP joins BJP, why losing him may hurt the party","Rajesh Mishra is said to have been upset with the Congress since last year because it chose Ajay Rai, another east UP leader, to head the state unit.",0
15,"Alarm bells in INDIA as AIMIM plans to expand Lok Sabha poll footprint: UP to Bihar, Mumbai to Marathwada","Asaduddin Owaisi’s party is looking to contest 20 seats in UP and 7 in Bihar, with Oppn bloc worrying this may dent its crucial minority base in the heartland",0
16,Assam TMC says seat-sharing chances with INDIA partners ‘slim’,"Party says if there is no seat sharing in Bengal, there will be no such arrangement in Assam too",0
17,"Decode Politics: Why BJD, BJP alliance makes sense? Nearly 50% vote shareSubscriber Only","Lok Sabha or Assembly, when the two parties were aligned for 11 years, they got nearly half the votes and dominated the state. Split cost BJP, but it has been gaining ground, as Cong disintegrates",0
18,"Today in Politics: All eyes on PM Modi’s Kashmir rally, first since Article 370 abrogation; BJP-BJD tie-up set to be sealed",Congress Central Election Committee is holding its first meeting Thursday to start finalising party candidates for LS polls; Rahul Yatra heads to Gujarat,0
19,"15 years after snapping ties, BJD set to return to NDA fold",The speculation of the reunion of the two erstwhile allies gathered momentum after the Patnaik-led party supported Union minister Ashwini Vaishnaw in the recent Rajya Sabha elections as the BJP lacked the numbers to push his candidature.,0
20,"Days after Tripura accord, Oppn Tipra set to join BJP Cabinet, bags two berths",LoP Animesh Debbarma and Tipra MLA Brishaketu Debbarma to be inducted into Manik Saha ministry; swearing-in likely on Thursday,0
21,"Tapas Roy joins BJP after quitting TMC, says he wants to build peaceful Bengal by ousting ‘anarchist govt’",He is being seen as a potential BJP candidate from Kolkata Uttar Lok Sabha constituency.,0
22,"As Sandeshkhali puts women at heart of Bengal battle, a look at their numbers","More men than women among the state’s registered voters, but 17 of 42 LS seats saw a greater turnout percentage for women than men in 2019; in Basirhat, under which Sandeshkhali falls, the turnout for men was far more",0
23,"The collapse of a party: Days to go for Lok Sabha polls, where are Mayawati, BSP?Subscriber Only","2022 Assembly polls saw BSP's worst performance. With no checking of slide since, Mayawati aloof, mixed messaging on BJP and series of exits, party leaders are directionless",0
24,"30-32 seats for party, 16-18 for allies: BJP hopes for this deal in Maharashtra","While BJP leaders claim allies cautioned to shed “unreasonable aggression”, Ajit Pawar NCP and Shinde Sena leaders deny that formula finalised, say talks still on",0
25,"As PM Modi comes bearing schemes for Kashmir, question uppermost is when will J-K see state polls","First visit by Modi after abrogation of Article 370, he last visited Kashmir in February 2019; there has been no engagement with Kashmir leaders since June 2021",0
26,Akhilesh goes all out to boost SP first family’s Lok Sabha chances: Induction drive to pacifying rebels,"Of the Akhilesh clan’s strongholds such as Mainpuri, Firozabad, Kannauj, Badaun and Azamgarh, the party currently has only one seat, Mainpuri, won by Dimple in 2022 bypoll",0
27,Meet sole Muslim face in BJP LS list so far: Controversial ex-VC of Calicut Univ,"“In Malappuram, there is a significant change in the approach of Muslims, especially among educated ones, towards the BJP,” says party's candidate from seat, M Abdul Salam",0
28,New names less than half; more changes in seats BJP won in 2019 rather than lost: First list for LS polls,"The 195 names include 108 sitting MPs, while 33 sitting MPs dropped, many of them are MLAs now; very few turncoats in list",0
29,"Arvind Kejriwal as ‘Shravan Kumar’, ‘Ram Rajya’: Why AAP deployed religious imagery in Delhi Budget","Ram, Ram Rajya, and Ramayana. Delhi Finance Minister Atishi mentioned the three at least 40 times in 90 minutes while presenting the Budget on Monday.",0
30,"Under Karnataka pact, BJP, JD(S) faces may switch symbols in some LS seats","An 'exchange formula' is under BJP-JD(S) consideration, especially for Old Mysore region where BJP is looking to repeat its 2019 sweep",0
31,"Meet new faces in Yogi Cabinet: Purvanchal proponent, non-Yadav OBC leader, Jayant Chaudhary aide, lawyer","Besides accommodating BJP's allies SBSP and RLD ahead of LS polls, CM Adityanath seeks to balance caste and regional equations in expanding his ministry",0
32,"Body blow for INDIA bloc in J&K: National Conference says will contest all 3 Valley seats, PDP still holds out hope",NC decision places a question mark over the future of the Gupkar alliance as PDP and the party led by the Abdullahs will be pitted against each other in LS polls,0
33,Congress likely to announce LS poll promises for youth today: What is on the cards,Mallikarjun Kharge and Rahul Gandhi expected to announce these promises at a public meeting in Madhya Pradesh's Dhar district.,0
34,"Today in Politics: PM Modi back in Bengal, Congress likely to unveil poll promises for the youth","Plus, the BJP leadership is expected to meet in Delhi to discuss Lok Sabha candidates from Karnataka.",0
35,"‘India a subcontinent, not country’, remarks on Ram: What DMK’s A Raja said, triggering political firestorm","As BJP hits out at Raja, DMK's ally Congress urges restraint, RJD distances itself from the comments",0
36,"First Lalu, now A Raja: INDIA bloc keeps lobbing full tosses at Modi, BJP",The comments of the RJD chief and the DMK leader have provided the PM with the opportunity to centre the discourse around him.,0
37,Thiruvananthapuram battle of the biggies: BJP feels it has answer for Shashi TharoorSubscriber Only,"BJP candidate Rajeev Chandrasekhar, whose slogan is 'Ini Karyam Nadakkum' (Now things will work), believes every voter in the constituency wants to be part of Modi's 'developed India project'",0
38,Justice Abhijit Gangopadhyay not the first: When two SC judges quit judiciary to run for office,"While former CJI K Subba Rao stepped down three months before retirement to contest the 1967 presidential elections, Justice Baharul Islam was a Congress MP before he joined the judiciary and resigned in 1983 to return to Parliament",0
39,"From the Urdu Press: ‘What became of Modi guarantees on jobs, black money… Can Bihar show INDIA the way?’","‘Modi had made several big promises to the country for 2014 polls too. No one is ready to even question what happened to them. On top of that list was Modi’s pledge to provide 2 crore jobs to the people annually,’ writes Siasat",0
40,"6 sitting MPs dropped, more likely: A look at BJP reshuffle in Madhya Pradesh","Pragya Thakur, who drew PM's rap for her Godse remarks, and remained unavailable in her seat, among those out; tickets to Shivraj Chouhan and Jyotiraditya Scindia influenced other changes",0
41,"A lot riding on women’s votes, TMC and BJP go all out in Bengal as Sandeshkhali episode plays out","While women are a crucial constituency for the BJP and part of its poll push nationally, they are also central to the TMC’s plans to thwart Modi who is all set to return to Bengal on Wednesday.",0
42,Sticking to script? When films meet pollsSubscriber Only,"Like 2019, Bollywood has lined up a series of films in sync with govt message; in Andhra, it’s a battle of plots",0
43,"‘We joined Samajwadi Party for being a party of the ideology of Ram Manohar Lohia, not Periyar’: Ex-SP chief whipSubscriber Only","Manoj Pandey, among the SP MLAs believed to have voted for BJP in RS polls, attacks party's failure to take action against Swami Prasad Maurya, says always admired PM, CM for many measures.",0
44,"Under ED scanner over ‘govt fund laundering’, Cong ex-MLA: Who is Salman Khurshid’s wife Louise",A TV channel 'sting' in 2012 purportedly uncovered that Louise Khurshid-run Zakir Hussain Memorial Trust had allegedly misappropriated govt grants meant for disabled people,0
45,"Today in Politics: PM Modi in Odisha amid speculation of BJP-BJD reunion, Yogi to expand UP Cabinet","Plus, Amit Shah heads to Maharashtra to resolve seat-sharing disputes in the ruling alliance, and Justice Abhijit Gangopadhyay will unveil his plans after quitting the judiciary.",0
46,"Gujarat Congress exodus continues, another big name quits: Who is Arjun Modhwadia?","Former LoP Arjun Modhwadia slams Congress stand on Ram temple event, leaders admit he was ignored; speculation is rife that he is all set to join BJP.",0
47,"Blow to TMC as senior, much-liked leader Tapas Roy quits party, felt ‘abandoned’ after ED raid","Yet to announce future plans, Tapas Roy, who was seen as belonging to Abhishek Banerjee camp, expected to join BJP.",0
48,"Keeping councillors under tight leash, BJP claws back in Chandigarh civic body","Wins both the Senior Deputy Mayor and Deputy Mayor posts with a margin of 3, after rap by apex court over ‘botched’ mayoral polls",0
49,Congress MP Naseer Hussain at heart of ‘pro-Pak’ slogan row from a family of freedom fighters,"Student leader from JNU, the newly elected Rajya Sabha MP rose up the Congress ranks, was part of Standing Committees in Parliament.",0
50,Women’s Day to see next big BJP push: Modi govt lines up announcementsSubscriber Only,"Prime Minister to address BJP Mahila Morcha meeting in Bengal on March 7; party believes that in previous Assembly polls, it could not stall Mamata’s third term because of the “overwhelming support” she enjoys among women",0
51,Delimitation puts Assam’s 3 Congress MPs in fix over LS seats,"With the contours of their seats changed, Gaurav Gogoi and Pradyut Bordoloi both want to contest from Nagaon, while Barpeta MP demands change of seat to Dhubri",0
52,Decode Politics: How SC in 1998 came to grant legislators immunity in bribery cases,"JMM MPs Suraj Mandal, Shibu Soren, Simon Marandi, and Shailendra Mahto were charged with accepting bribes to save PV Narasimha Rao’s minority government in 1993, when it was dealing with the fallout of liberalisation and Babri demolition.",0
53,"Amit Shah heading to Maharashtra as NDA’s seat-sharing troubles, BJP discontent mount","BJP is facing internal differences as well as heat from allies over allotment of seats for LS polls in Vidarbha, North Maharashtra and Marathwada regions",0
54,"As Sushma Swaraj’s daughter rises, BJP flags ‘winnability’ after Opposition raises ‘parivarvaad’ storm","Amid reports of divisions over Bansuri Swaraj’s nomination,  BJP closes ranks behind her;  incumbent MP Meenakshi Lekhi meets her, extends all help",0
55,The turbulent tenure of Justice Abhijit Gangopadhyay: Calcutta HC judge who took on Trinamool govt,"In January, the judge hit the headlines after he accused a fellow High Court judge of “acting for a political party in the state” and had an altercation with the state Advocate General.",0
56,"Today in Politics: PM Modi set to begin 10-day whirlwind tour of states, first stop Telangana and TN","Plus, Supreme Court verdict on whether legislators enjoy immunity from criminal prosecution for accepting bribes to make a speech or cast a vote in the legislature.",0
57,"Breaking SP hold on Yadavs its long game, BJP now deploys Madhya Pradesh CM in UP","Mohan Yadav takes a dig at Akhilesh Yadav at an event in Lucknow, tells the crowd that Yadavs have the right to prosper as a community and not just “one family”.",0
58,"Justice Abhijit Gangopadhyay announces resignation: In divided Bar, move raises questions on independence of judiciarySubscriber Only","For more than two years, both in his judicial orders and in media interviews, Justice Gangopadhyay has attacked the ruling Trinamool Congress and its leaders.",0
59,"On Congress manifesto table: Germany-style apprenticeship, paper leak compensation","The party's manifesto committee, headed by former Union Finance Minister P Chidambaram, is in the last stages of drafting the document, according to sources.",0
60,"In first list for Lok Sabha polls, why BJP overhauled Delhi, Chhattisgarh lineups","While the BJP swept Delhi the last two times, it won 10 of the 11 seats in Chhattisgarh in 2014 and bagged nine in 2019.",0
61,"Assam Congress chief: ‘Some people will leave Congress, join BJP and it will be a temporary setback .. it is to suppress main issues’","""This time, main formula (for tickets) is winnability plus loyalty… (Or else) we can face what happened in MP, Goa and Manipur,"" says Bhupen Borah",0
62,"Back to cricket, why Gautam Gambhir called time on his political career after just one termSubscriber Only","BJP was said to be looking to repeat the former Indian cricketer and MP as a candidate “even if not from East Delhi or a seat in the capital” and this decision “was conveyed to him”, according to a party insider.",0
63,"In BJP’s Gujarat LS list, 5 sitting MPs dropped; Shah, 6 others fight from same seats",Six-term MP Mansukh Vasava has been repeated as a candidate from the Bharuch to take on the INDIA Alliance candidate Chaitar Vasava of the Aam Aadmi Party (AAP). Mansukh Vasava won the 2019 polls by a margin of 3.34 lakh votes.,0
64,"Days after defection in Telangana, 2 BRS MPs land BJP tickets as ‘exodus’ buzz grows",State BJP leaders say more BRS MPs may switch to their party after PM Modi’s visit to Adilabad and Sangareddy on March 4-5,0
65,"Today in Politics: All eyes on Modi ministry’s last huddle ahead of LS polls, focus on vikas",Protesting farmers set to take a call on next course of action over ‘Dilli Chalo’ march,0
66,Two former sarpanches among 11 picked from Chhattisgarh,"Agrawal has been fielded from Raipur, a seat being represented by party MP Sunil Soni. Agrawal currently represents Raipur South Assembly seat that he had won last year by a record margin of 67,851 votes.",0
67,"Names for 51 of 80 UP seats out: Hema Malini from Mathura, Sanjeev Balyan in Muzaffarnagar",Two more seats are surprisingly missing from the list — Pilibhit and Sultanpur. Eight-term MP Maneka Sanjay Gandhi is sitting MP from Sultanpur and her son Varun Gandhi — a three-term MP — represents Pilibhit.,0
68,"By Rahul’s side, Kamal Nath pitches his ‘message of peace and love’ during Madhya Pradesh leg of Yatra","Nath had been in the spotlight recently over rumours that he may join the BJP, following which the Congress went into damage-control mode to keep its flock together. Nath has dismissed the rumours as a media creation.",0
69,"2024 Lok Sabha elections | BJP’s Rajasthan picks: In three seats, how caste equations, local leaders can give party a tough fight","Among 15 nominees from Rajasthan in BJP's first list are Om Birla from Kota, Jyoti Mirdha from Nagaur and Mahendra Jeet Singh Malviya from Banswara",0
70,"In BJP’s first list for Lok Sabha polls: Mix of old, new; social justice is the big message","Winnability, representation and a propensity to work quietly as per the party's requirements have all mattered — in varying degrees — in the selections. Apart from these factors, the first list does not reflect any other grand or consistent pattern.",0
71,"In BJP’s Lok Sabha list for Bengal, mix of old and new faces; Suvendu’s younger brother to contest from father’s seat","Union ministers Nisith Pramanik, Shantanu Thakur retained; TMC slams move to field Bhojpuri actor from Asansol",0
72,"‘On my Greater Tipraland demand, nowhere in accord is written it will not be met. I have not backed down, nor have they (Centre)’: Pradyot KishoreSubscriber Only","The accord is 'first step towards realisation of aspirations of Tripura's indigenous people' and 'an acknowledgment of Government of India on historical injustice meted out to them' that needs 'course correction', says TIPRA founder.",0
73,"Lok Sabha polls: In BJP’s first list of 195, Modi to contest again from Varanasi, Amit Shah from Gandhinagar","In the first list of 195 candidates, the BJP included 28 women, 47 youth, 27 Scheduled Castes, 18 Scheduled Tribes and 57 OBCs.",0
74,"Amid Mamata firefighting, TMC’s ‘old vs  young’ faultline flares as Kunal targets Sudip","Kunal Ghosh asks who paid for TMC veteran's hospital stay in Bhubaneswar after he was arrested by CBI in 2017, threatening to even move court over it",0
75,"Decode Politics | Key takeaways from ‘historic’ Tripura accord: booster for BJP, breakthrough for TIPRA Motha","The pact has promptly checked TIPRA chief Pradyot Kishore’s fast-unto-death stir, which could have spiralled out of control ahead of LS polls; the tribal outfit may now even consider joining NDA in due course",0
76,Odisha buzz grows ahead of PM Modi visit: Will BJD-BJP bonhomie turn into realliance?,"On Biju Patnaik birth anniversary on March 5, Modi is likely to share stage with CM Patnaik, even as state BJP chief says the principal Oppn will strongly contest all LS and Assembly seats",0
77,"Tejashwi off the blocks with Yatra, but can he run the marathon?","Opposition's Bihar hope, the RJD leader draws enthusiastic crowds to his Yatra, expanding party's pitch, talking jobs. But the odds remain high, with BJP formidable, his M-Y core vote watchful",0
78,"After mystery dash to Delhi by Tripura top brass, TIPRA Motha chief says ‘historic accord coming today’","In message to supporters, Pradyot Kishore, who cut short a 'fast-unto-death' to head to Capital, says: ""I said I wouldn't come back empty-handed""; CM, ministers and top Motha leaders had followed him to Delhi. An alliance with BJP may also be on cards",0
79,‘What does Pakistan have to do with a Rajya Sabha poll in Karnataka?… I can understand BJP frustration’: Cong MP Syed Naseer Hussain,"As BJP stalls Assembly, links cafe blast to alleged Pakistan Zindabad slogans raised after his Rajya Sabha win, Hussain says open to any investigation, ""no one heard what BJP is claiming.""",0
80,Decode Politics: Why dirt keeps swirling about a luxury resort in Punjab,"Allegations have dogged the Oberoi Sukhvilas Spa Resort, partly owned by Akali Dal leader Sukhbir Singh Badal, since its construction began. Now AAP has put a figure to it: Rs 108 crore",0
81,"Today in Politics: PM Modi and Nitish Kumar to share the stage in Bihar, Rahul yatra resumes","Plus, the wait continues for the BJP’s first list of candidates for the Lok Sabha polls. It is expected to be released over the weekend.",0
82,Neerja Chowdhury writes | RS poll debacle in Himachal to Sonia’s UP exit: Harsh light shines on a Congress in crisisSubscriber Only,"The bottom line is clear. Without addressing its decline in Uttar Pradesh, the Congress cannot rediscover itself.",0
83,"Week before Himachal fiasco, Congress knew what was coming but was clueless about its scale","As the Congress looks back at what went wrong during the Rajya Sabha polls in the hill state, the picture that is emerging is of miscalculation and overconfidence.",0
84,"BJP may release LS polls first list over weekend; focus likely to be on star candidates, ‘weak’ seats","“The BJP’s advantage against the Congress is so clear that even if the latter chooses its nominees knowing who our candidates are, the popularity of PM Modi will ensure a sweep,” says a party leader",0
85,Why Sandeshkhali forced usually defiant TMC into a cornerSubscriber Only,"The final push, though, came from the Calcutta High Court which, on Wednesday, ruled that central agencies can arrest Shahjahan. Soon after, the Bengal Police picked up the TMC strongman who had been absconding for 55 days since his followers assaulted an Enforcement Directorate team.",0
86,"Yogi Cabinet expansion on the cards, will bring in RLD, SBSP","SBSP chief Om Rajbhar expected to join an RLD and a BJP nominee in Cabinet, expansion of Council of Ministers also likely, as Lucknow sees a spree of meetings",0
87,"Decode Politics: On Karnataka caste survey report, why Siddaramaiah is facing a predicament","On one hand, the Karnataka CM has the opportunity to cement his legacy while on the other, he may end up dividing the party if he pushes too hard on this.",0
88,A walk-on role or more? DMK faces heat over a drug bust and a movie producer on the run,"A K Jaffer Sadiq was a functionary in the party’s NRI wing and had photos online with top DMK leaders. Though the DMK has expelled him, the Opposition says it is not enough.",0
89,"After 3 years, as PM Modi returns to Mamata turf, what we can expect","PM will continue with his development pitch, inaugurating and laying the foundation of projects in Hooghly and Nadia districts; but all eyes are on the political message of his speeches",0
90,"Sharad Pawar’s lunch invite to CM, Dy CMs leaves both rivals, friends wondering: What’s on the menu?","While Pawar has said he only wanted to extend courtesy to Shinde, on his first visit to Baramati since becoming CM, others link it to heat on the veteran over Jarange Patil's continuing agitation.",0
91,"In a bind over UP seats, Cong litany of woes: ‘unwinnability’, lack of key aspirants, cold SP","UP Cong section feels SP has not allotted the party seats it desired, pointing to six of them – Prayagraj, Amroha, Bulandshahr, Saharanpur, Deoria and Sitapur — where it has never won after 1980s",0
92,"Lok Sabha polls: Deciphering PM Modi, govt push on first-time voters","Since 2019, the number of first-time voters has increased by almost a quarter. In every state and UT, the number of women voters has also increased by a greater proportion than their male counterparts",0
93,"UP deal done but toughest stretch awaits SP, Congress: Working out Lok Sabha battle plan",Leaders of both parties say there are no instructions yet from the top on implementing the agreement. “There is confusion about the distribution of work.”,0
94,"Today in Politics: PM Modi to visit Bengal, likely to target Mamata, TMC over Sandeshkhali","Plus, after late-night deliberations, will BJP release its first candidate list for Lok Sabha polls?",0
95,"Himachal Congress turmoil: Away from CM’s breakfast, rebels talk of moving Supreme Court","While they were undecided about what they were going to have for dinner, they were very clear about the next course of action after their disqualification  by Assembly Speaker Kuldeep Singh Pathania.",0
96,The long blood line of Himachal rebellion: A feud between CM Sukhu and the late Virbhadra Singh going back years,"The two could not have been further apart, from their backgrounds to their rise, and made that apparent. Sukhu's appointment as CM, instead of Virbhadra's wife Pratibha Singh, added fuel to the fire",0
97,"CAA again on horizon, Assam Opposition prepares to raise it as poll issue, CM Sarma says go to SC","16 parties hand over memorandum to President asking Modi govt to stop move to implement CAA, warn of mass agitation otherwise; DGP says any such bandh could entail recovery of crores",0
98,"Ally CPM’s mouthpiece takes a swipe at Congress over Himachal, Hindutva: ‘How could it be caught napping… fight RSS like this?’","While attacking BJP, People's Democracy editorial talks about the Congress's divided house in Himachal, says opposition parties need ""bold and consistent fight — ideologically, politically — against Hindutva communal forces""",0
99,"Haryana BJP puts forward its Lok Sabha list: All sitting MPs, some big faces who lost 2019 Assembly polls",Recent entrants Kuldeep Bishnoi and Ashok Tanwar also figure in the list; state unit does not want tie-up with JJP for LS,0
100,"15 days, 80,000 people added across UP: BJP claims great start to target of 370 extra voters per booth","With PM Modi having asked every BJP worker to get 370 more votes in each booth, BJP has been holding Milan Samaroh events in heartland states, focusing on Oppn workers' induction",0
101,Now Manipur Police up in arms against Arambai Tenggol: What is the radical Meitei group?,"Following abduction of a senior officer by the group, Manipur Police has accused it of ""garnering false support"" by claiming to protect the public; says that with its officers being targeted, need for roping in Central personnel may arise",0
102,"Weak spot identified, Telangana Congress begins course-correcting for LS polls","BRS councillors, corporators are crossing over to Congress in droves as no-confidence motions help ruling party wrest control of civic bodies; alarmed BRS leaders even approached court but got no relief",0
103,"A Siddaramaiah-D K Shivakumar show: How Congress managed to keep BJP, JD(S) at bay in Karnataka","From Cabinet-rank appointments for dozens of MLAs in January to sequestering them in a resort ahead of the election, the party took several measures that helped it avoid a Himachal Pradesh-like situation",0
104,"As Left reveals its cards in Kerala, why Congress may still want Rahul Gandhi from Wayanad","The Congress has won the Lok Sabha seat all three times since it was created ahead of the 2009 polls, by substantial margins. However, Assembly poll fights have been closer",0
105,"As farmers meet again today, how long can Haryana BJP keep away, hope anger doesn’t reach it","The death of a youth at a protest site, and mystery about injuries to another, have pushed the party and its government in Haryana into a corner",0
106,"As BJP eyes first Lok Sabha win in Kashmir, a PDP veteran central to its plans",Former J&K Deputy CM Muzaffar Baig returned to the PDP in January but disassociated from the party after attending PM Modi’s Jammu rally last week.,0
107,"INDIA singed by UP Rajya Sabha test, SP to rejig Lok Sabha game plan, Congress worry grows over Amethi, Raebareli","Eight 'rebel' SP MLAs include three Brahmin faces, two Thakur leaders, two from backward communities and one Dalit leader; they were in touch with senior BJP leaders and ministers",0
108,"Aiming to reverse 2019 rout, Kerala CPI(M) bets on seasoned faces for LS polls; ropes in Shailaja, Isaac","Among CPI(M)'s 15 candidates in the state are four MLAs, two MPs, a minister and a Politburo member",0
109,Today in Politics: BJP’s first LS list on the cards after central panel huddle; CM Sukhu fate hangs in balance,Karnataka caste survey report to be submitted to CM Siddaramaiah; protesting farm unions to decide next course of 'Dilli Chalo' stir,0
110,"Better to be sorry, and safe?: In fifth defamation case, Arvind Kejriwal pleads ‘mistake’","Arun Jaitley, Kapil Sibal, Bikram Majithia, Nitin Gadkari and now BJP IT cell, the AAP supremo has sought the same route for relief after making allegations",0
111,"Decode Politics: As Himachal govt teeters, how often has draw of lots been used? Almost never","According to ex-CEC O P Rawat, the use of a draw of lots to decide RS polls was ‘unheard of’, though there had been rare instances of it being used in Assembly and LS elections",0
112,Newsmaker: At centre of Himachal Rajya Sabha storm is a ‘gentleman’ leader — and a Virbhadra Singh loyalist,"Harsh Mahajan, who won Tuesday's RS election, joined BJP in 2022 after 4 decades in Congress, with his father too a party leader. Said to have been picked by Rajiv Gandhi as state Youth Congress leader, he last won an election in 2003.",0
113,"In first visit to Kashmir since abrogation of Article 370, Modi to address Srinagar rally on March 7","The Prime Minister has been on a whirlwind tour of the country, with his speeches focusing on how his government’s schemes have touched the lives of beneficiaries.",0
114,"Assam Cong’s woes since Rahul Yatra continue as another senior leader quits, BJP says ‘all MLAs’ in touch with it","Rana Goswami second Assam Cong working president to jump ship in two weeks, even as two party MLAs have extended support to Sarma govt",0
115,"Days after Bharat Ratna, RSS wing says farmers ‘suffering’ because of experts like M S Swaminathan","“The farmer already has problems. By adopting ways of so-called experts, their input cost has shot up, and they are not getting remunerative prices,” says Bharatiya Kisan Sangh",0
116,"Fifth YSRCP MP quits party, leaders worry if Jagan ticket shuffling a risky bet","A former Jagan aide, Ongole MP M Sreenivasulu Reddy reportedly wanted a ticket for his son, an accused and approver in Delhi excise scam",0
117,Cross-voting SP MLAs bring to the fore ‘upper caste’ challenge for party,A section of upper caste party leaders feel that the PDA motto that Akhilesh now swears by sends out an exclusionary message to them and tribals,0
118,PM Modi’s underwater dip in Dwarka also has a message for Ahirs,"His visit included several outreach efforts towards the community, which is seen as equivalent of the Yadavs in the Hindi heartland",0
119,"Decode Politics: After Rajya Sabha cross-voting, why Congress govt in Himachal hangs in the balance","Drama continues in state, Congress minister resigns, 15 BJP MLAs 'suspended'; as BJP threatens to seek a floor test after cross-voting by six Congress MLAs in Tuesday’s Rajya Sabha poll",0
120,"Amid Nitish govt vs Governor flare-up over varsities’ control, JD(U), BJP dial down heat","State education dept, which has asked 39 officials to carry out inspection of colleges, is also holding a meet to discuss whether universities should take orders from Raj Bhavan or state govt",0
121,"Today in Politics | After Himachal RS poll shocker, buzz grows: Can Congress govt survive Finance Bill day?",Cong high command sends trouble-shooters D K Shivakumar and Bhupinder Hooda to Shimla to defuse crisis; MVA allies set to meet to finalise LS seat-sharing in Maharashtra,0
122,"In Kamal Nath bastion of Chhindwara, BJP on prowl, Congress tries to herd its leadersSubscriber Only","As Congress leaders leave, they cite both fear of BJP govt stalling funds to an indifferent leadership within own party. Meanwhile, rumours regarding Kamal Nath's plans linger",0
123,"Congress loses another leader to BJP in Gujarat, former MP and son jump ship","The decision of five-time MP Naran Rathwa, a tribal leader, and his son Sangramsinh is a blow to the Opposition party in Chhota Udepur. where it does not have big leaders anymore",0
124,"AAP fields Delhi MLAs from LS seats, no repeat of 2019 names: Ex-minister to Sisodia aide to Gujjar face","AAP nominates Somnath Bharti from New Delhi, Kuldeep Kumar from East Delhi, Sahi Ram Pehalwan from South Delhi and ex-Cong MP Mahabal Mishra from West Delhi",0
125,"After pulling off Himachal upset in Rajya Sabha election, BJP guns for Sukhu govt: ‘Will meet Governor in the morning’",“We have not lost the trust. We got 34 votes and they got 34 votes. Six Congress MLAs did cross-voting … Was it a vote of resentment?” says CM Sukhvinder Singh Sukhu,0
126,"CAA rules likely to be notified before poll code, to seek proof of India entry, religion",The MCC comes into force when the Election Commission announces polls. It is expected that the Lok Sabha poll dates will be announced sometime next month.,0
127,"Rajya Sabha polls: Congress saves face, turns the tables in Karnataka, with help of these two BJP MLAs","Both S T Somashekar and Shivram  were earlier associated with Congress, joined BJP in 2019 and are seen to be miffed with the party",0
